adj,noun,f,ipm
"русский","контрразведчик",3, 0.03089
"русский","мужичок",3, 0.03089
"русский","валенок",3, 0.03089
"русский","бабка",3, 0.03089
"русский","капитал",3, 0.03089
"русский","зверобой",3, 0.03089
"русский","группа",3, 0.03089
"русский","бабушка",3, 0.03089
"русский","юноша",3, 0.03089
"русский","плен",3, 0.03089
"русский","балет",3, 0.03089
"русский","артиллерист",3, 0.03089
"русский","война",3, 0.03089
"русский","дружина",3, 0.03089
"русский","подданство",3, 0.03089
"русский","клипер",3, 0.03089
"русский","двор",3, 0.03089
"русский","гончая",3, 0.03089
"русский","булочка",3, 0.03089
"русский","царица",3, 0.03089
"русский","березка",3, 0.03089
"русский","образец",3, 0.03089
"русский","негр",2, 0.02059
"русский","лотос",2, 0.02059
"русский","ортодокс",2, 0.02059
"русский","американка",2, 0.02059
"русский","сын",2, 0.02059
"русский","погост",2, 0.02059
"русский","математика",2, 0.02059
"русский","притоп",2, 0.02059
"русский","стилистика",2, 0.02059
"русский","напиток",2, 0.02059
"русский","детишки",2, 0.02059
"русский","фэнтези",2, 0.02059
"русский","магазин",2, 0.02059
"русский","блин",2, 0.02059
"русский","вездеход",2, 0.02059
"русский","мат",2, 0.02059
"русский","спецслужба",2, 0.02059
"русский","предок",2, 0.02059
"русский","архитектура",2, 0.02059
"русский","живопись",2, 0.02059
"русский","быт",2, 0.02059
"русский","чудо",2, 0.02059
"русский","монастырь",2, 0.02059
"русский","кладка",2, 0.02059
"русский","забава",2, 0.02059
"русский","эмигрантка",2, 0.02059
"русский","типография",2, 0.02059
"русский","община",2, 0.02059
"русский","отец",2, 0.02059
"русский","медичка",2, 0.02059
"русский","меч",2, 0.02059
"русский","товар",2, 0.02059
"русский","социал-демократ",2, 0.02059
"русский","конец",2, 0.02059
"русский","проект",2, 0.02059
"русский","вокал",2, 0.02059
"русский","комиссар",2, 0.02059
"русский","нос",2, 0.02059
"русский","сапожок",2, 0.02059
"русский","пехотинец",2, 0.02059
"русский","победа",2, 0.02059
"русский","геометр",2, 0.02059
"русский","мысль",2, 0.02059
"русский","любитель",2, 0.02059
"русский","концерт",2, 0.02059
"русский","скрипач",2, 0.02059
"русский","петрушка",2, 0.02059
"русский","журнал",2, 0.02059
"русский","министр",2, 0.02059
"русский","класс",2, 0.02059
"русский","порядок",2, 0.02059
"русский","валюта",2, 0.02059
"русский","дуб",2, 0.02059
"русский","рукопись",2, 0.02059
"русский","вельможа",2, 0.02059
"русский","квасок",2, 0.02059
"русский","впечатление",2, 0.02059
"русский","гавроши",2, 0.02059
"русский","поручик",2, 0.02059
"русский","способ",2, 0.02059
"русский","турек",2, 0.02059
"русский","колонист",2, 0.02059
"русский","степь",2, 0.02059
"русский","обличие",2, 0.02059
"русский","истребитель",2, 0.02059
"русский","биофизик",2, 0.02059
"русский","трон",2, 0.02059
"русский","великан",2, 0.02059
"русский","посланник",2, 0.02059
"русский","листовка",2, 0.02059
"русский","грамота",2, 0.02059
"русский","рука",2, 0.02059
"русский","станция",2, 0.02059
"русский","двойка",2, 0.02059
"русский","топливо",2, 0.02059
"русский","гарнизон",2, 0.02059
"русский","старик",2, 0.02059
"русский","самородок",2, 0.02059
"русский","завоеватель",2, 0.02059
"русский","академик",2, 0.02059
"русский","дюфур",2, 0.02059
"русский","татарин",2, 0.02059
"русский","артистка",2, 0.02059
"русский","металлургия",2, 0.02059
"русский","тыл",2, 0.02059
"русский","университет",2, 0.02059
"русский","размах",2, 0.02059
"русский","петух",2, 0.02059
"русский","сталевар",2, 0.02059
"русский","офицерство",2, 0.02059
"русский","выхухоль",2, 0.02059
"русский","консул",2, 0.02059
"русский","склад",2, 0.02059
"русский","шаг",2, 0.02059
"русский","полярник",2, 0.02059
"русский","государь",2, 0.02059
"русский","девка",2, 0.02059
"русский","гвардия",2, 0.02059
"русский","мафиози",2, 0.02059
"русский","воздухоплавание",2, 0.02059
"русский","серафима",2, 0.02059
"русский","солдатик",2, 0.02059
"русский","империя",2, 0.02059
"русский","рэкетир",2, 0.02059
"русский","повесть",2, 0.02059
"русский","сапер",2, 0.02059
"русский","горка",2, 0.02059
"русский","вода",2, 0.02059
"русский","хоккей",2, 0.02059
"русский","мужчина",2, 0.02059
"русский","катер",2, 0.02059
"русский","марка",2, 0.02059
"русский","фашист",2, 0.02059
"русский","раб",2, 0.02059
"русский","тетка",2, 0.02059
"русский","правописание",2, 0.02059
"русский","овчарка",2, 0.02059
"русский","учитель",2, 0.02059
"русский","секрет",2, 0.02059
"русский","дорога",2, 0.02059
"русский","вопрос",2, 0.02059
"русский","упражнение",2, 0.02059
"русский","вязь",2, 0.02059
"русский","военачальник",2, 0.02059
"русский","ас",2, 0.02059
"русский","фанатик",2, 0.02059
"русский","гений",2, 0.02059
"русский","борец",2, 0.02059
"русский","бой",2, 0.02059
"русский","град",2, 0.02059
"русский","изобретение",2, 0.02059
"русский","жолнеж",2, 0.02059
"русский","урок",2, 0.02059
"русский","опера",2, 0.02059
"русский","книжка",2, 0.02059
"русский","автор",2, 0.02059
"русский","диктант",2, 0.02059
"русский","род",2, 0.02059
"русский","тварь",2, 0.02059
"русский","родственник",2, 0.02059
"русский","умение",2, 0.02059
"русский","служба",2, 0.02059
"русский","провинция",2, 0.02059
"русский","дикарь",2, 0.02059
"русский","платье",2, 0.02059
"русский","ивашко",2, 0.02059
"русский","переводчик",2, 0.02059
"русский","каша",2, 0.02059
"русский","карабин",2, 0.02059
"русский","артист",2, 0.02059
"русский","гавань",2, 0.02059
"русский","пионер",2, 0.02059
"русский","умелец",2, 0.02059
"русский","батарея",2, 0.02059
"русский","промысел",2, 0.02059
"русский","пирог",2, 0.02059
"русский","огурец",2, 0.02059
"русский","театр",2, 0.02059
"русский","связь",2, 0.02059
"русский","паренек",2, 0.02059
"русский","молодец",2, 0.02059
"русский","крестьянка",2, 0.02059
"русский","мера",2, 0.02059
"русский","штаб",2, 0.02059
"русский","ученик",2, 0.02059
"русский","радистка",2, 0.02059
"русский","школьница",2, 0.02059
"русский","парнишка",2, 0.02059
"русский","княжество",2, 0.02059
"русский","труженик",2, 0.02059
"русский","миллионер",2, 0.02059
"русский","политика",2, 0.02059
"русский","хозяин",2, 0.02059
"русский","солнце",2, 0.02059
"русский","ансамбль",1, 0.01030
"русский","мерзавец",1, 0.01030
"русский","пенальти",1, 0.01030
"русский","полдень",1, 0.01030
"русский","примочка",1, 0.01030
"русский","карась",1, 0.01030
"русский","суздаль",1, 0.01030
"русский","лось",1, 0.01030
"русский","весь",1, 0.01030
"русский","баллада",1, 0.01030
"русский","путешествие",1, 0.01030
"русский","рыба",1, 0.01030
"русский","премия",1, 0.01030
"русский","кестут",1, 0.01030
"русский","ритка",1, 0.01030
"русский","пятерка",1, 0.01030
"русский","репетитор",1, 0.01030
"русский","лазутчик",1, 0.01030
"русский","ниндзя",1, 0.01030
"русский","арго",1, 0.01030
"русский","плечо",1, 0.01030
"русский","физия",1, 0.01030
"русский","каторга",1, 0.01030
"русский","дизайнер",1, 0.01030
"русский","салат",1, 0.01030
"русский","разгильдяйство",1, 0.01030
"русский","соответствие",1, 0.01030
"русский","делец",1, 0.01030
"русский","броненосец",1, 0.01030
"русский","жмурки",1, 0.01030
"русский","иностранец",1, 0.01030
"русский","денис",1, 0.01030
"русский","сборник",1, 0.01030
"русский","портретист",1, 0.01030
"русский","майор",1, 0.01030
"русский","механик",1, 0.01030
"русский","делегация",1, 0.01030
"русский","сбой",1, 0.01030
"русский","сон",1, 0.01030
"русский","панк",1, 0.01030
"русский","ангелина",1, 0.01030
"русский","игрок",1, 0.01030
"русский","тоска",1, 0.01030
"русский","историк",1, 0.01030
"русский","пьеса",1, 0.01030
"русский","реалия",1, 0.01030
"русский","автобус",1, 0.01030
"русский","трюфель",1, 0.01030
"русский","сувенир",1, 0.01030
"русский","терьер",1, 0.01030
"русский","сленг",1, 0.01030
"русский","мясник",1, 0.01030
"русский","информация",1, 0.01030
"русский","компьютерщик",1, 0.01030
"русский","поляк",1, 0.01030
"русский","время",1, 0.01030
"русский","пчеловодство",1, 0.01030
"русский","городишко",1, 0.01030
